Month,NIRBRS Crime,Frequency All Neighborhoods,Frequency % All Neighborhoods,Frequency at 75252,Frequency % at 75252,Frequency at 75248,Frequency % at 75248,Frequency at 75246,Frequency % at 75246,Frequency at 75243,Frequency % at 75243,Frequency at 75042,Frequency % at 75042,Frequency at 75216,Frequency % at 75216,Frequency at 75115,Frequency % at 75115,Frequency at 75062,Frequency % at 75062,Frequency at 75212,Frequency % at 75212,Frequency at 75137,Frequency % at 75137,Frequency at 75211,Frequency % at 75211,Frequency at 75229,Frequency % at 75229,Frequency at 75231,Frequency % at 75231,Frequency at 75041,Frequency % at 75041,Frequency at 75206,Frequency % at 75206,Frequency at 75247,Frequency % at 75247,Frequency at 75220,Frequency % at 75220,Frequency at 75149,Frequency % at 75149,Frequency at 75210,Frequency % at 75210,Frequency at 75104,Frequency % at 75104,Frequency at 75001,Frequency % at 75001,Frequency at 75251,Frequency % at 75251,Frequency at 75080,Frequency % at 75080,Frequency at 75204,Frequency % at 75204,Frequency at 75006,Frequency % at 75006,Frequency at 75254,Frequency % at 75254,Frequency at 75218,Frequency % at 75218,Frequency at 75116,Frequency % at 75116,Frequency at 75287,Frequency % at 75287,Frequency at 75234,Frequency % at 75234,Frequency at 75209,Frequency % at 75209,Frequency at 75202,Frequency % at 75202,Frequency at 75141,Frequency % at 75141,Frequency at 75233,Frequency % at 75233,Frequency at 75244,Frequency % at 75244,Frequency at 75232,Frequency % at 75232,Frequency at 75270,Frequency % at 75270,Frequency at 75228,Frequency % at 75228,Frequency at 75227,Frequency % at 75227,Frequency at 75240,Frequency % at 75240,Frequency at 75019,Frequency % at 75019,Frequency at 75208,Frequency % at 75208,Frequency at 75201,Frequency % at 75201,Frequency at 75052,Frequency % at 75052,Frequency at 75214,Frequency % at 75214,Frequency at 75219,Frequency % at 75219,Frequency at 75217,Frequency % at 75217,Frequency at 75225,Frequency % at 75225,Frequency at 75238,Frequency % at 75238,Frequency at 75051,Frequency % at 75051,Frequency at 75063,Frequency % at 75063,Frequency at 75007,Frequency % at 75007,Frequency at 75226,Frequency % at 75226,Frequency at 75203,Frequency % at 75203,Frequency at 75134,Frequency % at 75134,Frequency at 75236,Frequency % at 75236,Frequency at 75224,Frequency % at 75224,Frequency at 75207,Frequency % at 75207,Frequency at 75205,Frequency % at 75205,Frequency at 75230,Frequency % at 75230,Frequency at 75253,Frequency % at 75253,Frequency at 75235,Frequency % at 75235,Frequency at 75159,Frequency % at 75159,Frequency at 75081,Frequency % at 75081,Frequency at 75249,Frequency % at 75249,Frequency at 75241,Frequency % at 75241,Frequency at 75215,Frequency % at 75215,Frequency at 75237,Frequency % at 75237,Frequency at 75223,Frequency % at 75223
1,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,775,1.04,15,2.37,4,0.39,1,0.51,46,1.37,0,0,41,1.38,,,,,13,0.87,0,0,33,1.13,18,1,26,0.9,,,24,1,8,0.67,35,1.01,0,0,13,1.66,,,0,0,4,1.07,0,0,28,0.83,1,25,12,1.16,4,0.42,,,31,1.66,1,0.31,2,0.3,9,0.78,,,10,1.6,3,1.24,14,0.95,,,36,1.05,27,1.25,16,0.86,0,0,31,1.63,13,0.58,,,15,1.13,16,0.9,36,1.24,1,0.21,16,1.14,0,0,,,,,12,0.89,14,1.22,,,13,1.82,23,1.43,9,0.74,0,0,12,1.01,6,1.07,13,0.69,0,0,0,0,4,1.62,12,0.54,28,1.24,19,1.01,7,0.93
1,DRUG EQUIPMENT VIOLATIONS,16,0.02,0,0,0,0,0,0,0,0,0,0,1,0.03,,,,,1,0.07,0,0,4,0.14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.11,,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0.07,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0.06,2,0.07,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,1,0.06,0,0,0,0,0,0,1,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,1,0.13
1,DRUG/ NARCOTIC VIOLATIONS,447,0.6,0,0,1,0.1,2,1.02,23,0.68,0,0,36,1.21,,,,,19,1.27,1,100,13,0.45,13,0.73,10,0.35,,,5,0.21,3,0.25,25,0.72,1,4.35,9,1.15,,,0,0,2,0.53,0,0,6,0.18,0,0,6,0.58,2,0.21,,,3,0.16,2,0.62,1,0.15,7,0.61,,,7,1.12,2,0.83,6,0.41,,,35,1.02,7,0.32,6,0.32,0,0,17,0.89,7,0.31,,,2,0.15,4,0.23,27,0.93,1,0.21,3,0.21,0,0,,,,,7,0.52,11,0.96,,,4,0.56,4,0.25,6,0.49,0,0,1,0.08,2,0.36,10,0.53,0,0,0,0,1,0.4,15,0.68,53,2.35,15,0.8,4,0.53
1,EMBEZZELMENT,32,0.04,0,0,0,0,1,0.51,1,0.03,0,0,2,0.07,,,,,0,0,0,0,1,0.03,2,0.11,2,0.07,,,1,0.04,1,0.08,0,0,0,0,1,0.13,,,0,0,0,0,0,0,1,0.03,0,0,0,0,1,0.11,,,2,0.11,0,0,1,0.15,0,0,,,0,0,1,0.41,0,0,,,2,0.06,3,0.14,0,0,0,0,0,0,0,0,,,0,0,1,0.06,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,1,0.06,0,0,1,0.23,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09,1,0.04,2,0.11,1,0.13
1,EXTORTION/ BLACKMAIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,90,0.12,3,0.47,0,0,0,0,2,0.06,0,0,2,0.07,,,,,2,0.13,0,0,4,0.14,3,0.17,3,0.1,,,1,0.04,1,0.08,10,0.29,0,0,2,0.26,,,0,0,0,0,0,0,7,0.21,0,0,0,0,1,0.11,,,0,0,0,0,1,0.15,4,0.35,,,0,0,0,0,1,0.07,,,2,0.06,1,0.05,4,0.22,0,0,2,0.11,4,0.18,,,4,0.3,1,0.06,2,0.07,0,0,0,0,0,0,,,,,3,0.22,0,0,,,0,0,2,0.12,3,0.25,1,0.23,1,0.08,1,0.18,4,0.21,0,0,0,0,1,0.4,2,0.09,2,0.09,1,0.05,2,0.26
1,HACKING/COMPUTER INVASION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"HUMAN TRAFFICKING, INVOLUNTARY SERVITUDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,IDENTITY THEFT,11,0.01,1,0.16,0,0,0,0,2,0.06,0,0,1,0.03,,,,,0,0,0,0,0,0,2,0.11,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,1,0.05,0,0,0,0,1,0.05,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,1,0.06,0,0,0,0,0,0,1,0.18,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0
1,IMPERSONATION,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,1,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
